60192, 56085 
59782, 54795 
59440, 53688 
59116, 52835 
58827, 52185 
58556, 51785 
58362, 51644 
58196, 51748 
58089, 52085 
58026, 52640 
58022, 53378 
58120, 54270 
58262, 55273 
58473, 56398 
58795, 57552 
59187, 58705 
59678, 59851 
60286, 60930 
60993, 61947 
61848, 62803 
62782, 63620 
63828, 64192 
65017, 64775 
00695, 65027 
01962, 65115 
03303, 65162 
04596, 65019 
05867, 64758 
07037, 64341 
08110, 63808 
09022, 63165 
09656, 62451 
10081, 61624 
10225, 60750 
10082, 59748 
09626, 58745 
08844, 57672 
07737, 56581 
06356, 55443 
04669, 54332 
02785, 53132 
00627, 52074 
63909, 50988 
61610, 49917 
59272, 48913 
56993, 47997 
54844, 47198 
52880, 46485 
51176, 45973 
49742, 45602 
48648, 45335 
47939, 45311 
47583, 45436 
47648, 45771 
48109, 46323 
48911, 47006 
50065, 47843 
51552, 48842 
53260, 49933 
55164, 51143 
57181, 52363 
59278, 53615 
61390, 54832 
63431, 56011 
65376, 57077 
01592, 58036 
03163, 58814 
04518, 59472 
05606, 59945 
06456, 60168 
07024, 60252 
07349, 60171 
07476, 59935 
07369, 59568 
07126, 59103 
06732, 58585 
06267, 58023 
05765, 57494 
05222, 57041 
04723, 56659 
04261, 56382 
03850, 56254 
03571, 56272 
03371, 56457 
03264, 56813 
03236, 57315 
03286, 57936 
03404, 58668 
03559, 59443 
03727, 60244 
03886, 61065 
04019, 61750 
04109, 62376 
04134, 62862 
04036, 63148 
03919, 63221 
03697, 63047 
03378, 62662 
03071, 62056 
02673, 61220 
02257, 60159 
01875, 58987 
01546, 57676 
01267, 56329 
01074, 55022 
01016, 53732 
01088, 52590 
01333, 51639 
01751, 50902 
02285, 50504 
03009, 50396 
03836, 50643 
04790, 51270 
05803, 52238 
06866, 53528 
07928, 55149 
08933, 57023 
09862, 59108 
10635, 61314 
11245, 63637 
11677, 00421 
11834, 02663 
11794, 04734 
11495, 06649 
10889, 08299 
10099, 09611 
09060, 10601 
07817, 11230 
06462, 11490 
05013, 11404 
03521, 11000 
02034, 10266 
00648, 09305 
64889, 08183 
63796, 06923 
62933, 05565 
62338, 04234 
62046, 02942 
62097, 01789 
62466, 00809 
63154, 00003 
64181, 64963 
65423, 64636 
01419, 64541 
03128, 64684 
04969, 65024 
06900, 65527 
08803, 00629 
10645, 01331 
12380, 02075 
13902, 02747 
15176, 03367 
16145, 03867 
16757, 04185 
17074, 04342 
16956, 04287 
16474, 04030 
15641, 03599 
14455, 03004 
12943, 02258 
11212, 01416 
09286, 00554 
07199, 65248 
05062, 64503 
02934, 63867 
00904, 63421 
64515, 63241 
62791, 63331 
61337, 63714 
60179, 64421 
59351, 65431 
58896, 01191 
58769, 02761 
59060, 04500 
59678, 06420 
60544, 08414 
61763, 10363 
63186, 12206 
64773, 13900 
00900, 15341 
02613, 16423 
04275, 17157 
05835, 17408 
07213, 17144 
08341, 16465 
09205, 15235 
09761, 13495 
09933, 11342 
09733, 08782 
09164, 05901 
08212, 02800 
06875, 65069 
05269, 61769 
03367, 58552 
01216, 55477 
64450, 52631 
62050, 50142 
59626, 48036 
57232, 46416 
54965, 45295 
52913, 44671 
51079, 44602 
49523, 45001 
48332, 45884 
47509, 47162 
47103, 48794 
47155, 50700 
47560, 52766 
48397, 54923 
49636, 57091 
51193, 59164 
53065, 61039 
55170, 62666 
57496, 64000 
59919, 64997 
62408, 00029 
64887, 00250 
01760, 00050 
04041, 65040 
06084, 64125 
