446	289
233	484
-52	540
-329	440
-514	208
-554	-89
-433	-366
-184	-543
123	-567
401	-427
570	-163
578	154
422	432
143	592
-180	587
-458	416
-610	126
-593	-202
-410	-477
-112	-622
218	-595
490	-404
627	-101
592	229
396	495
93	625
-233	584
-492	386
-615	86
-570	-232
-374	-481
-82	-596
224	-549
461	-358
567	-79
520	211
338	432
76	530
-192	484
-395	314
-482	73
-439	-170
-285	-350
-70	-426
143	-385
299	-250
361	-65
323	114
209	241
57	287
-84	254
-178	161
-207	47
-176	-52
-108	-111
-33	-121
22	-92
42	-49
30	-15
3	-8
-16	-29
-7	-65
35	-92
100	-86
161	-34
190	59
160	169
65	258
-79	289
-235	237
-353	100
-389	-95
-316	-297
-138	-446
107	-488
355	-396
534	-180
584	113
475	407
223	617
-116	676
-452	553
-693	267
-761	-114
-627	-491
-312	-760
108	-840
523	-696
820	-355
910	99
758	548
396	870
-88	970
-567	813
-910	433
-1020	-77
-860	-580
-464	-942
65	-1060
588	-896
964	-490
1088	54
922	592
508	977
-46	1104
-592	937
-982	518
-1110	-42
-941	-591
-518	-981
42	-1106
589	-933
974	-509
1092	49
914	588
490	962
-62	1070
-589	885
-948	460
-1040	-83
-845	-594
-421	-931
112	-1005
603	-797
915	-372
965	149
741	617
313	900
-195	922
-638	679
-888	246
-878	-250
-613	-666
-172	-881
313	-835
701	-543
878	-93
793	383
472	743
8	881
-460	755
-794	400
-892	-79
-722	-543
-331	-851
168	-909
630	-695
915	-265
934	257
675	720
204	985
-344	967
-812	662
-1060	149
-1006	-428
-656	-905
-101	-1138
507	-1052
996	-659
1219	-60
1103	581
669	1083
28	1300
-647	1159
-1167	687
-1381	5
-1218	-705
-711	-1244
10	-1459
754	-1279
1315	-741
1533	17
1340	794
775	1377
-16	1602
-824	1399
-1430	812
-1664	-8
-1456	-845
-851	-1473
-6	-1718
857	-1508
1506	-890
1763	-24
1553	861
926	1528
46	1797
-857	1591
-1540	960
-1820	69
-1619	-846
-988	-1542
-92	-1832
830	-1637
1534	-1009
1832	-114
1644	809
1023	1517
133	1819
-786	1639
-1492	1027
-1796	147
-1622	-762
-1020	-1460
-155	-1761
738	-1591
1422	-1002
1716	-155
1548	717
971	1381
147	1662
-699	1493
-1337	928
-1600	128
-1427	-685
-873	-1292
-99	-1532
679	-1349
1248	-806
1458	-59
1263	679
726	1206
8	1382
-688	1168
-1168	637
-1303	-54
-1067	-706
-537	-1135
128	-1225
733	-962
1108	-430
1150	211
854	771
316	1089
-302	1078
-818	747
-1079	198
-1012	-402
-641	-874
-78	-1078
508	-954
939	-539
1087	43
904	617
444	1012
-161	1105
-729	865
-1091	357
-1134	-273
-837	-841
-280	-1175
379	-1172
950	-821
1263	-217
1218	474
819	1054
167	1352
-558	1273
-1151	829
-1440	132
-1335	-627
-852	-1238
-115	-1526
679	-1402
1312	-888
1606	-115
1472	713
936	1372
133	1680
-727	1545
-1415	995
-1743	169
-1618	-721
-1065	-1439
-223	-1794
692	-1688
1443	-1143
1832	-294
1755	642
1227	1425
382	1853
-569	1815
-1384	1317
-1857	484
-1866	-475
-1410	-1321
-601	-1841
360	-1907
1234	-1503
1806	-728
1936	225
1594	1124
865	1750
-73	1951
-992	1682
-1672	1009
-1951	95
-1763	-840
-1156	-1574
-276	-1934
669	-1836
1455	-1305
1899	-467
1898	481
1452	1317
666	1847
-278	1948
-1161	1594
-1777	868
-1984	-65
-1730	-989
-1071	-1691
-156	-2005
804	-1855
1587	-1270
2009	-382
1967	608
1463	1469
607	1998
-404	2065
-1338	1646
-1970	830
-2146	-197
-1815	-1195
-1045	-1926
-11	-2210
1044	-1968
1867	-1249
2254	-215
2102	888
1438	1795
412	2279
-730	2215
-1710	1608
-2285	599
-2305	-572
-1758	-1616
-769	-2272
419	-2371
1514	-1883
2240	-922
2412	275
1981	1408
1052	2193
-142	2428
-1301	2052
-2131	1159
-2419	-25
-2093	-1196
-1237	-2057
-74	-2387
1097	-2105
1974	-1287
2333	-151
2087	1007
1307	1886
204	2261
-929	2041
-1795	1296
-2171	231
-1969	-867
-1255	-1706
-230	-2069
823	-1873
1621	-1183
1958	-201
1755	799
