-577	-1804
-675	-1457
-1081	-788
-1731	111
-2521	1100
-3322	2020
-4005	2713
-4459	3047
-4610	2940
-4434	2372
-3956	1390
-3251	104
-2423	-1326
-1591	-2717
-865	-3880
-327	-4655
-17	-4926
72	-4639
-6	-3812
-165	-2527
-305	-921
-327	832
-162	2547
222	4051
807	5203
1529	5915
2287	6155
2960	5952
3429	5384
3599	4568
3416	3638
2875	2729
2026	1956
964	1403
-188	1116
-1296	1100
-2237	1326
-2919	1743
-3294	2281
-3360	2875
-3161	3465
-2770	4005
-2280	4469
-1777	4841
-1332	5118
-981	5300
-728	5385
-545	5364
-383	5225
-186	4954
93	4539
479	3977
964	3283
1510	2491
2054	1655
2516	845
2823	135
2919	-401
2782	-709
2429	-759
1924	-556
1350	-140
815	422
422	1041
250	1625
338	2091
674	2382
1200	2474
1813	2381
2389	2151
2800	1855
2939	1571
2740	1370
2193	1298
1343	1366
288	1549
-837	1786
-1885	1997
-2719	2099
-3236	2023
-3382	1732
-3163	1233
-2640	576
-1917	-146
-1121	-821
-382	-1332
195	-1586
543	-1530
649	-1167
548	-559
318	183
60	915
-119	1490
-131	1785
76	1727
508	1311
1121	606
1832	-252
2533	-1085
3109	-1697
3460	-1919
3520	-1634
3268	-805
2728	512
1972	2176
1098	3978
219	5679
-559	7044
-1155	7889
-1522	8106
-1655	7688
-1586	6727
-1374	5399
-1093	3930
-814	2557
-591	1487
-452	855
-395	702
-390	971
-393	1516
-350	2131
-220	2594
18	2708
358	2342
761	1459
1168	123
1504	-1505
1696	-3202
1687	-4719
1450	-5827
997	-6364
379	-6264
-319	-5568
-990	-4422
-1520	-3047
-1806	-1700
-1775	-624
-1392	-4
-668	70
339	-375
1534	-1207
2797	-2205
4002	-3104
5029	-3644
5784	-3620
6206	-2927
6277	-1576
6015	294
5475	2443
4737	4570
3891	6358
3031	7535
2238	7920
1576	7453
1087	6208
789	4384
677	2264
727	174
902	-1576
1157	-2741
1445	-3186
1720	-2901
1943	-2001
2082	-704
2119	711
2046	1951
1867	2768
1597	2990
1262	2560
892	1535
520	77
174	-1579
-123	-3169
-359	-4441
-535	-5202
-666	-5348
-774	-4875
-886	-3877
-1029	-2527
-1220	-1041
-1461	356
-1740	1469
-2025	2164
-2271	2384
-2429	2149
-2450	1554
-2303	735
-1977	-146
-1491	-942
-892	-1535
-255	-1859
334	-1899
786	-1693
1027	-1315
1012	-855
734	-403
232	-33
-416	210
-1100	313
-1695	287
-2083	166
-2169	-10
-1900	-207
-1274	-398
-342	-572
800	-732
2024	-886
3194	-1039
4182	-1190
4893	-1318
5277	-1388
5331	-1351
5104	-1155
4677	-754
4150	-123
3618	735
3158	1779
2809	2934
2571	4101
2405	5161
2248	6003
2028	6532
1682	6691
1177	6467
522	5893
-232	5048
-996	4039
-1656	2989
-2100	2017
-2234	1221
-2007	664
-1423	371
-547	324
506	476
1582	758
2520	1094
3171	1419
3431	1685
3254	1870
2661	1974
1737	2020
618	2038
-540	2058
-1580	2099
-2378	2163
-2857	2230
-3001	2266
-2851	2229
-2494	2078
-2037	1787
-1588	1351
-1225	793
-982	167
-843	-457
-741	-994
-581	-1365
-259	-1510
308	-1398
1156	-1036
2260	-470
3529	221
4814	940
5928	1582
6683	2057
6921	2306
6546	2306
5549	2082
4014	1696
2113	1244
77	833
-1833	565
-3376	516
-4363	724
-4694	1176
-4372	1813
-3503	2533
-2262	3205
-919	3711
312	3929
1215	3790
1661	3277
1615	2432
1143	1356
399	194
-410	-885
-1062	-1715
-1363	-2157
-1192	-2126
-521	-1607
575	-660
1927	589
3307	1957
4461	3237
5162	4224
5250	4752
4664	4718
3452	4100
1768	2970
-152	1479
-2034	-156
-3609	-1686
-4659	-2867
-5052	-3494
-4765	-3440
-3884	-2671
-2584	-1261
-1097	621
329	2726
1478	4765
2197	6447
2425	7520
2197	7813
1633	7255
908	5893
220	3880
-231	1457
-350	-1081
-73	-3432
564	-5322
1450	-6547
2421	-7001
3291	-6680
3893	-5684
4109	-4195
3894	-2443
3287	-675
2403	890
1406	2082
505	2808
-118	3053
-320	2877
-27	2393
758	1742
1949	1063
3396	468
4913	25
6302	-253
7390	-400
8053	-490
8228	-610
7923	-842
7203	-1242
6180	-1822
4986	-2552
3753	-3358
2594	-4141
1587	-4793
775	-5220
165	-5360
-260	-5194
-528	-4751
-671	-4102
-712	-3340
-655	-2577
-506	-1897
-261	-1362
76	-992
485	-760
923	-606
1327	-449
1621	-206
1724	184
1568	751
1117	1475
377	2295
-597	3117
-1701	3829
-2796	4325
-3725	4528
-4339	4404
-4522	3973
-4213	3307
-3420	2513
-2224	1720
-770	1047
752	586
2135	378
3185	406
3753	599
3755	844
3186	1009
2122	973
706	648
-871	4
-2402	-926
-3692	-2044
-4587	-3204
-4990	-4240
-4878	-4993
-4292	-5342
-3334	-5229
-2142	-4670
-869	-3754
336	-2627
1353	-1466
2097	-448
2530	288
2651	662
2494	674
2112	399
1568	-21
923	-412
230	-595
-470	-427
-1145	170
-1771	1188
-2324	2535
-2781	4042
-3113	5495
-3289	6669
-3284	7370
-3077	7472
-2661	6937
-2050	5831
-1275	4311
-384	2603
561	963
1495	-359
2356	-1168
3097	-1349
3685	-887
4107	130
4368	1527
4481	3075
4462	4522
4324	5637
4066	6246
3680	6249
3145	5639
2443	4491
1562	2948
512	1193
-667	-582
-1906	-2201
-3101	-3532
-4133	-4496
-4874	-5069
-5214	-5275
-5081	-5171
-4455	-4829
-3381	-4320
-1972	-3697
-393	-2996
1153	-2231
2460	-1408
3340	-528
3663	394
3369	1328
2490	2221
1140	3002
-496	3592
-2192	3917
-3709	3923
-4836	3588
-5421	2928
-5392	2003
-4767	904
-3648	-254
-2206	-1352
-648	-2283
815	-2968
2001	-3364
2788	-3471
3126	-3322
3045	-2980
2643	-2515
2064	-1998
1470	-1485
1011	-1008
797	-577
878	-185
1237	186
1797	551
2431	911
2995	1249
3345	1527
3374	1693
3025	1688
2302	1466
1274	1003
58	309
-1197	-564
-2335	-1528
-3223	-2467
-3765	-3253
-3921	-3770
-3711	-3929
-3205	-3687
-2516	-3058
-1776	-2107
-1116	-948
-645	278
-437	1426
-521	2365
-882	3000
-1465	3288
-2188	3236
-2959	2900
-3686	2369
-4295	1748
-4737	1135
-4988	608
-5055	210
-4965	-56
-4762	-217
-4496	-320
-4216	-419
-3967	-555
-3782	-744
-3684	-971
-3681	-1192
-3770	-1341
-3938	-1349
-4161	-1159
-4406	-744
-4630	-119
-4786	656
-4824	1480
-4698	2229
-4371	2773
-3822	3000
-3057	2842
-2109	2284
-1045	1377
43	225
1040	-1025
1826	-2207
2287	-3165
2336	-3778
1927	-3980
1067	-3767
-183	-3201
-1705	-2393
-3340	-1482
-4905	-609
-6217	109
-7115	598
-7485	844
-7277	887
-6507	810
-5263	726
-3688	743
-1960	947
-272	1376
1200	2014
2316	2790
2989	3589
3197	4273
2978	4711
2421	4805
1652	4509
807	3845
17	2899
-615	1814
-1024	763
-1189	-79
-1132	-565
-908	-602
-589	-171
-255	670
25	1794
202	3025
253	4164
181	5027
13	5470
-213	5417
-454	4868
-670	3901
-834	2660
-936	1326
-980	95
-983	-863
-970	-1423
-967	-1527
-997	-1195
-1073	-515
-1199	367
-1372	1272
-1580	2017
-1811	2442
-2050	2432
-2286	1935
-2511	971
-2718	-377
-2898	-1971
-3043	-3641
-3135	-5200
-3157	-6479
-3086	-7337
-2903	-7682
-2597	-7482
-2169	-6761
-1640	-5601
-1050	-4123
-456	-2481
73	-835
467	661
667	1877
636	2725
369	3161
-97	3193
-694	2879
-1318	2316
-1851	1631
-2179	960
-2204	430
-1872	148
-1179	174
-178	523
1022	1153
2271	1976
3399	2865
4239	3673
4654	4258
4556	4499
3928	4322
2821	3709
1354	2704
-303	1411
-1958	-22
-3417	-1425
-4518	-2629
-5153	-3483
-5279	-3903
-4925	-3853
-4183	-3366
-3189	-2538
-2102	-1508
-1076	-436
-232	524
354	1246
666	1653
742	1727
668	1506
553	1078
510	555
632	54
970	-324
1529	-520
2258	-523
3065	-370
3832	-138
4434	72
4765	161
4760	56
4402	-276
3732	-813
